Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
SLP,Healthcare,32.26,157214,0.47585071112660987,0.0076,0.015971395696785802
BCC,Basic Materials,144.69,318566,0.38532913736123836,0.0061000003,0.015830622988371033
HWKN,Basic Materials,123.03,129165,0.3864307433930372,0.006,0.01552671494849835
MGPI,Consumer Defensive,85.1,172219,0.3684392637025762,0.0057,0.015470663855742976
GPI,Consumer Cyclical,391.8,133739,0.33049115520919975,0.0049,0.014826417962375776
VSTS,Industrials,15.6,2014847,0.630552851454419,0.0092,0.014590370940008418
HSTM,Healthcare,29.11,118739,0.2610515491180128,0.0038,0.014556511971825706
JBT,Industrials,92.65,286887,0.3180548589955946,0.0044,0.013834091432827144
HCC,Basic Materials,55.17,795085,0.4511583039676131,0.0061000003,0.013520753683030726
MTRN,Basic Materials,111.22,96884,0.3781285155490737,0.0050999997,0.013487477115007794
IBP,Consumer Cyclical,246.07,323871,0.4459966025798515,0.0058999998,0.013228799873971372
CRS,Industrials,155.0,669374,0.4222281900809449,0.0054,0.012789292915200125
SHEN,Communication Services,15.83,208601,0.4460739969904304,0.0055,0.012329792897831683
TDS,Communication Services,23.5,1043969,0.5851442365315336,0.0069,0.011791964389669174
CASH,Financial Services,69.1,189515,0.25915186736435164,0.003,0.011576223742899695
AEIS,Industrials,101.76,218417,0.3622119799526662,0.0041,0.011319338472835127
IIIN,Industrials,33.06,118101,0.3477354508049701,0.0037,0.01064027263091784
CTS,Technology,48.57,157249,0.3211022572769161,0.0034,0.01058852724622196
ESE,Technology,125.38,128138,0.2641969084306315,0.0026,0.009841144680474812
MLAB,Technology,128.43,39926,0.5459088295176744,0.0050999997,0.009342218744668392
ARCB,Industrials,115.83,263733,0.4681877617323877,0.0043,0.009184349424447034
ENSG,Healthcare,152.24,383342,0.2096670935997473,0.0016,0.007631145033442331
POWL,Industrials,192.77,406771,0.8463533984683849,0.0058999998,0.0069710830141132725
ACA,Industrials,95.27,275320,0.32575943827504844,0.0022,0.006753449759274432
CLB,Energy,18.59,461530,0.3908522411001198,0.0022,0.005628725560860871
BSIG,Financial Services,25.83,222139,0.2921885121769929,0.0016,0.005475916859560864
TILE,Industrials,19.0,437595,0.39118890049415783,0.0021,0.005368250472718518
EPAC,Industrials,42.01,304077,0.2669004582391748,0.001,0.003746715185868584
